Gene	Gene name	Reliability	Main location	Additional location	Extracellular location	Enhanced	Supported	Approved	Uncertain	Single-cell variation intensity	Single-cell variation spatial	Cell cycle dependency	GO id
ENSG00000002549	LAP3	Supported	Cytosol	Midbody;Nucleoplasm			Cytosol	Midbody;Nucleoplasm		Midbody		Midbody (biological definition)	Cytosol (GO:0005829);Midbody (GO:0030496);Nucleoplasm (GO:0005654)
ENSG00000002586	CD99	Approved	Golgi apparatus					Golgi apparatus					Golgi apparatus (GO:0005794)
ENSG00000002587	HS3ST1	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000002746	HECW1	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000002822	MAD1L1	Supported	Nuclear membrane;Nucleoplasm				Nuclear membrane;Nucleoplasm						Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000002834	LASP1	Supported	Cytosol;Plasma membrane	Focal adhesion sites			Cytosol;Plasma membrane	Focal adhesion sites					Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
ENSG00000002919	SNX11	Approved	Endoplasmic reticulum	Vesicles			Vesicles	Endoplasmic reticulum					Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
ENSG00000002933	TMEM176A	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000003096	KLHL13	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000003137	CYP26B1	Approved	Cytosol					Cytosol		Cytosol			Cytosol (GO:0005829)
ENSG00000003147	ICA1	Supported	Cytosol;Vesicles				Cytosol;Vesicles			Vesicles			Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000003249	DBNDD1	Approved	Nuclear speckles	Cytosol				Cytosol;Nuclear speckles		Nuclear speckles			Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000003393	ALS2	Approved	Cytosol;Intermediate filaments					Cytosol;Intermediate filaments					Cytosol (GO:0005829);Intermediate filaments (GO:0045111)
ENSG00000003400	CASP10	Approved	Golgi apparatus	Vesicles				Golgi apparatus;Vesicles					Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000003402	CFLAR	Supported	Cytosol;Nucleoplasm;Plasma membrane	Nuclear bodies			Cytosol;Nucleoplasm;Plasma membrane	Nuclear bodies					Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000003756	RBM5	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000003987	MTMR7	Approved	Cytosol;Nucleoplasm				Cytosol		Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000003989	SLC7A2	Supported	Plasma membrane	Cell Junctions			Cell Junctions;Plasma membrane						Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ENSG00000004139	SARM1	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000004142	POLDIP2	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000004455	AK2	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000004468	CD38	Supported	Plasma membrane				Plasma membrane			Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000004478	FKBP4	Enhanced	Cytosol	Nucleoplasm		Cytosol;Nucleoplasm							Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000004487	KDM1A	Supported	Nucleoplasm	Cytosol			Nucleoplasm		Cytosol				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000004534	RBM6	Approved	Nuclear speckles	Cytoplasmic bodies				Cytoplasmic bodies;Nuclear speckles					Cytoplasmic bodies (GO:0036464);Nuclear speckles (GO:0016607)
ENSG00000004660	CAMKK1	Supported	Cytosol				Cytosol			Cytosol			Cytosol (GO:0005829)
ENSG00000004700	RECQL	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000004766	VPS50	Uncertain	Cytosol	Plasma membrane					Cytosol;Plasma membrane				Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004776	HSPB6	Supported	Cytosol	Golgi apparatus;Nucleoli			Cytosol		Golgi apparatus;Nucleoli	Cytosol;Nucleoli			Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730)
ENSG00000004777	ARHGAP33	Approved	Plasma membrane	Actin filaments;Cytosol				Actin filaments;Cytosol;Plasma membrane					Actin filaments (GO:0015629);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004779	NDUFAB1	Supported	Mitochondria	Nucleoplasm			Mitochondria	Nucleoplasm		Mitochondria			Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000004809	SLC22A16	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004838	ZMYND10	Approved	Plasma membrane	Cytosol				Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000004864	SLC25A13	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000004866	ST7	Supported	Nucleoplasm	Cytosol			Nucleoplasm	Cytosol		Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000004897	CDC27	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000004948	CALCR	Approved	Cell Junctions	Centriolar satellite;Vesicles				Cell Junctions;Centriolar satellite;Vesicles					Cell Junctions (GO:0030054);Centriolar satellite (GO:0034451);Vesicles (GO:0043231)
ENSG00000004961	HCCS	Enhanced	Mitochondria			Mitochondria				Mitochondria			Mitochondria (GO:0005739)
ENSG00000004975	DVL2	Enhanced	Nucleoplasm	Nuclear bodies		Nuclear bodies;Nucleoplasm							Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000005001	PRSS22	Approved	Nucleoplasm		Predicted to be secreted			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000005007	UPF1	Supported	Nucleoplasm	Cytosol			Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000005020	SKAP2	Supported	Nucleoplasm	Cytosol		Nucleoplasm	Cytosol						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000005022	SLC25A5	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000005059	MCUB	Approved	Mitochondria;Nucleoplasm;Vesicles					Mitochondria;Nucleoplasm;Vesicles					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000005073	HOXA11	Supported	Nucleoplasm				Nucleoplasm			Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000005075	POLR2J	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000005100	DHX33	Supported	Nucleoli				Nucleoli						Nucleoli (GO:0005730)
ENSG00000005102	MEOX1	Approved	Nucleoplasm	Cytokinetic bridge;Cytosol				Cytokinetic bridge;Cytosol;Nucleoplasm		Cytokinetic bridge		Cytokinetic bridge (biological definition)	Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000005156	LIG3	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005175	RPAP3	Enhanced	Cytosol			Cytosol							Cytosol (GO:0005829)
ENSG00000005189	REXO5	Approved	Nuclear membrane	Endoplasmic reticulum;Nucleoli				Endoplasmic reticulum;Nuclear membrane;Nucleoli					Endoplasmic reticulum (GO:0005783);Nuclear membrane (GO:0031965);Nucleoli (GO:0005730)
ENSG00000005194	CIAPIN1	Supported	Mitochondria	Nucleoplasm			Mitochondria;Nucleoplasm			Mitochondria			Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000005206	SPPL2B	Approved	Nucleoplasm;Plasma membrane	Centrosome			Plasma membrane		Centrosome;Nucleoplasm				Centrosome (GO:0005813);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000005238	FAM214B	Approved	Nucleoli fibrillar center;Nucleoplasm					Nucleoli fibrillar center;Nucleoplasm					Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
ENSG00000005249	PRKAR2B	Uncertain	Mitochondria						Mitochondria				Mitochondria (GO:0005739)
ENSG00000005302	MSL3	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000005339	CREBBP	Supported	Nucleoplasm	Nuclear bodies			Nuclear bodies;Nucleoplasm			Nuclear bodies			Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000005381	MPO	Supported	Vesicles	Nucleoplasm			Vesicles	Nucleoplasm		Nucleoplasm			Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000005436	GCFC2	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005448	WDR54	Approved	Cytosol;Vesicles					Cytosol;Vesicles					Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000005469	CROT	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000005471	ABCB4	Approved	Actin filaments;Nucleoplasm;Plasma membrane	Focal adhesion sites			Plasma membrane	Actin filaments;Focal adhesion sites;Nucleoplasm					Actin filaments (GO:0015629);Focal adhesion sites (GO:0005925);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000005483	KMT2E	Supported	Nucleoplasm	Nuclear bodies			Nucleoplasm	Nuclear bodies		Nuclear bodies			Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000005486	RHBDD2	Enhanced	Golgi apparatus			Golgi apparatus							Golgi apparatus (GO:0005794)
ENSG00000005513	SOX8	Enhanced	Nucleoplasm			Nucleoplasm				Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000005700	IBTK	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000005801	ZNF195	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000005810	MYCBP2	Supported	Nucleoplasm	Cytosol;Vesicles			Nucleoplasm		Cytosol;Vesicles				Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000005812	FBXL3	Enhanced	Nuclear bodies			Nuclear bodies							Nuclear bodies (GO:0016604)
ENSG00000005882	PDK2	Approved	Mitochondria;Nucleoplasm				Mitochondria		Nucleoplasm	Nucleoplasm			Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000005884	ITGA3	Supported	Plasma membrane				Plasma membrane			Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000005889	ZFX	Approved	Nucleoplasm	Nucleoli				Nucleoli;Nucleoplasm		Nucleoli			Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000005893	LAMP2	Supported	Vesicles				Vesicles						Vesicles (GO:0043231)
ENSG00000005961	ITGA2B	Approved	Plasma membrane					Plasma membrane					Plasma membrane (GO:0005886)
ENSG00000006007	GDE1	Approved	Vesicles	Nucleoplasm;Plasma membrane				Plasma membrane;Vesicles	Nucleoplasm	Vesicles			Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000006015	REX1BD	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000006025	OSBPL7	Approved	Cytosol;Nucleoplasm	Plasma membrane			Cytosol;Plasma membrane		Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000006042	TMEM98	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000006062	MAP3K14	Supported	Cytosol;Vesicles	Nucleoli fibrillar center;Nucleoplasm			Cytosol	Vesicles	Nucleoli fibrillar center;Nucleoplasm				Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000006071	ABCC8	Approved	Nucleoli	Cytosol;Golgi apparatus				Cytosol;Golgi apparatus;Nucleoli		Nucleoli			Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730)
ENSG00000006118	TMEM132A	Approved	Mitochondria					Mitochondria		Mitochondria			Mitochondria (GO:0005739)
ENSG00000006125	AP2B1	Supported	Vesicles				Vesicles						Vesicles (GO:0043231)
ENSG00000006194	ZNF263	Supported	Cytosol	Mitotic spindle;Nucleoplasm			Cytosol	Mitotic spindle;Nucleoplasm		Cytosol;Mitotic spindle		Mitotic spindle (biological definition)	Cytosol (GO:0005829);Mitotic spindle (GO:0072686);Nucleoplasm (GO:0005654)
ENSG00000006210	CX3CL1	Supported	Plasma membrane		Predicted to be secreted		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000006282	SPATA20	Approved	Nucleoplasm		Predicted to be secreted			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000006327	TNFRSF12A	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006377	DLX6	Approved	Nuclear bodies					Nuclear bodies					Nuclear bodies (GO:0016604)
ENSG00000006432	MAP3K9	Approved	Nucleoli;Nucleoplasm					Nucleoli;Nucleoplasm					Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000006451	RALA	Supported	Plasma membrane	Focal adhesion sites			Plasma membrane		Focal adhesion sites				Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
ENSG00000006453	BAIAP2L1	Enhanced	Plasma membrane	Cytosol		Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006459	KDM7A	Approved	Nucleoplasm	Nucleoli				Nucleoli;Nucleoplasm		Nucleoli			Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000006468	ETV1	Approved	Nucleoplasm					Nucleoplasm		Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000006530	AGK	Supported	Mitochondria	Vesicles			Mitochondria	Vesicles					Mitochondria (GO:0005739);Vesicles (GO:0043231)
ENSG00000006576	PHTF2	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000006607	FARP2	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000006611	USH1C	Enhanced	Cytosol			Cytosol				Cytosol			Cytosol (GO:0005829)
ENSG00000006634	DBF4	Supported	Nuclear bodies;Nucleoplasm				Nuclear bodies;Nucleoplasm			Nucleoplasm	Nuclear bodies;Nucleoplasm		Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000006638	TBXA2R	Supported	Plasma membrane	Nuclear speckles			Plasma membrane	Nuclear speckles					Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)
ENSG00000006652	IFRD1	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane		Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006659	LGALS14	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000006695	COX10	Supported	Mitochondria	Cytosol;Nucleoli			Mitochondria		Cytosol;Nucleoli				Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoli (GO:0005730)
ENSG00000006704	GTF2IRD1	Supported	Nucleoplasm	Cytosol			Nucleoplasm		Cytosol	Cytosol;Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000006712	PAF1	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000006744	ELAC2	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000006747	SCIN	Approved	Plasma membrane	Cytosol				Cytosol;Plasma membrane		Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000006756	ARSD	Approved	Lipid droplets;Vesicles					Lipid droplets;Vesicles					Lipid droplets (GO:0005811);Vesicles (GO:0043231)
ENSG00000006837	CDKL3	Uncertain	Nucleoplasm;Vesicles						Nucleoplasm;Vesicles				Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000007001	UPP2	Approved	Nucleoplasm	Mitochondria;Vesicles				Mitochondria;Nucleoplasm;Vesicles					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000007038	PRSS21	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000007047	MARK4	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000007080	CCDC124	Enhanced	Cytosol;Plasma membrane			Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000007168	PAFAH1B1	Supported	Centrosome				Centrosome						Centrosome (GO:0005813)
ENSG00000007202	KIAA0100	Approved	Cytosol;Nuclear speckles		Predicted to be secreted			Cytosol;Nuclear speckles		Nuclear speckles			Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000007237	GAS7	Approved	Plasma membrane	Actin filaments;Focal adhesion sites				Actin filaments;Focal adhesion sites;Plasma membrane		Actin filaments;Plasma membrane			Actin filaments (GO:0015629);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
ENSG00000007264	MATK	Approved	Microtubules	Centriolar satellite;Cytokinetic bridge;Cytosol;Mitotic spindle			Cytosol	Centriolar satellite;Cytokinetic bridge;Microtubules;Mitotic spindle		Centriolar satellite;Cytokinetic bridge;Mitotic spindle		Cytokinetic bridge (biological definition);Mitotic spindle (biological definition)	Centriolar satellite (GO:0034451);Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Microtubules (GO:0015630);Mitotic spindle (GO:0072686)
ENSG00000007306	CEACAM7	Supported	Plasma membrane	Cytosol			Plasma membrane		Cytosol				Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000007312	CD79B	Supported	Plasma membrane	Cytosol;Nucleoplasm			Plasma membrane		Cytosol;Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000007314	SCN4A	Approved	Nucleoplasm	Centriolar satellite				Centriolar satellite;Nucleoplasm					Centriolar satellite (GO:0034451);Nucleoplasm (GO:0005654)
ENSG00000007341	ST7L	Approved	Centrosome					Centrosome					Centrosome (GO:0005813)
ENSG00000007350	TKTL1	Enhanced	Cytosol			Cytosol				Cytosol			Cytosol (GO:0005829)
ENSG00000007372	PAX6	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000007376	RPUSD1	Approved	Golgi apparatus	Cell Junctions;Cytosol;Nucleoplasm				Cell Junctions;Cytosol;Golgi apparatus;Nucleoplasm					Cell Junctions (GO:0030054);Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000007384	RHBDF1	Uncertain	Vesicles						Vesicles				Vesicles (GO:0043231)
ENSG00000007392	LUC7L	Approved	Nucleoplasm	Mitochondria				Mitochondria;Nucleoplasm					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000007402	CACNA2D2	Approved	Vesicles					Vesicles		Vesicles			Vesicles (GO:0043231)
ENSG00000007520	TSR3	Approved	Cytosol	Golgi apparatus				Cytosol;Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000007541	PIGQ	Approved	Golgi apparatus;Vesicles	Nucleoplasm				Golgi apparatus;Nucleoplasm;Vesicles					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000007545	CRAMP1	Approved	Nucleoplasm	Cytosol;Nucleoli				Cytosol;Nucleoli;Nucleoplasm		Nucleoplasm			Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000007923	DNAJC11	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000008018	PSMB1	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000008083	JARID2	Supported	Mitochondria;Nucleoplasm				Nucleoplasm	Mitochondria					Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000008086	CDKL5	Supported	Nucleoplasm				Nucleoplasm			Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000008128	CDK11A	Supported	Nuclear speckles	Cytosol			Cytosol;Nuclear speckles						Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000008130	NADK	Approved	Nucleoplasm	Vesicles				Nucleoplasm;Vesicles		Nucleoplasm			Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000008196	TFAP2B	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000008197	TFAP2D	Uncertain	Nucleoplasm	Golgi apparatus;Vesicles					Golgi apparatus;Nucleoplasm;Vesicles				Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000008226	DLEC1	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000008256	CYTH3	Supported	Cytosol	Nucleoplasm			Cytosol		Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000008277	ADAM22	Approved	Cell Junctions					Cell Junctions					Cell Junctions (GO:0030054)
ENSG00000008294	SPAG9	Enhanced	Centriolar satellite;Cytosol			Centriolar satellite;Cytosol							Centriolar satellite (GO:0034451);Cytosol (GO:0005829)
ENSG00000008311	AASS	Approved	Mitochondria	Nucleoplasm;Vesicles				Mitochondria;Nucleoplasm;Vesicles		Mitochondria;Vesicles			Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000008323	PLEKHG6	Supported	Cell Junctions	Centrosome			Cell Junctions	Centrosome					Cell Junctions (GO:0030054);Centrosome (GO:0005813)
ENSG00000008324	SS18L2	Approved	Mitochondria;Nucleoli	Nucleoplasm				Mitochondria;Nucleoli;Nucleoplasm		Mitochondria			Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000008382	MPND	Approved	Nucleoli rim	Nucleoplasm				Nucleoli rim;Nucleoplasm		Nucleoplasm			Nucleoli rim (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000008394	MGST1	Approved	Mitochondria	Endoplasmic reticulum				Endoplasmic reticulum;Mitochondria		Mitochondria			Endoplasmic reticulum (GO:0005783);Mitochondria (GO:0005739)
ENSG00000008405	CRY1	Supported	Microtubules;Nuclear membrane;Nucleoplasm				Nucleoplasm	Microtubules;Nuclear membrane					Microtubules (GO:0015630);Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000008438	PGLYRP1	Approved	Vesicles	Cytosol;Nucleoplasm	Predicted to be secreted			Cytosol;Nucleoplasm;Vesicles					Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000008441	NFIX	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000008516	MMP25	Supported	Plasma membrane		Predicted to be secreted		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000008853	RHOBTB2	Approved	Plasma membrane					Plasma membrane		Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000008869	HEATR5B	Approved	Cytosol;Nuclear speckles;Vesicles				Cytosol;Vesicles		Nuclear speckles				Cytosol (GO:0005829);Nuclear speckles (GO:0016607);Vesicles (GO:0043231)
ENSG00000008952	SEC62	Approved	Endoplasmic reticulum	Intermediate filaments				Endoplasmic reticulum;Intermediate filaments					Endoplasmic reticulum (GO:0005783);Intermediate filaments (GO:0045111)
ENSG00000008988	RPS20	Supported	Cytosol;Endoplasmic reticulum				Cytosol;Endoplasmic reticulum						Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783)
ENSG00000009307	CSDE1	Enhanced	Cytosol;Plasma membrane			Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000009335	UBE3C	Approved	Mitochondria;Nucleoplasm	Plasma membrane				Mitochondria;Nucleoplasm;Plasma membrane		Mitochondria			Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000009413	REV3L	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000009724	MASP2	Supported	Golgi apparatus		Predicted to be secreted		Golgi apparatus						Golgi apparatus (GO:0005794)
ENSG00000009765	IYD	Supported	Plasma membrane				Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000009780	FAM76A	Approved	Cytosol;Nucleoplasm					Cytosol;Nucleoplasm			Cytosol;Nucleoplasm		Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000009790	TRAF3IP3	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000009830	POMT2	Approved	Nucleoplasm	Cytosol;Nucleoli				Cytosol;Nucleoplasm	Nucleoli				Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
